Time Series artificial accelerogram: 1
 
Time Step: 0.01000 s
 
     Time(sec)	        Acc(g)	                              
       8.77000	      -0.10829	                              
       8.78000	      -0.11056	                              
       8.79000	      -0.10985	                              
       8.80000	      -0.10595	                              
       8.81000	      -0.10086	                              
       8.82000	      -0.09598	                              
       8.83000	      -0.09319	                              
       8.84000	      -0.09224	                              
       8.85000	      -0.09381	                              
       8.86000	      -0.09447	                              
       8.87000	      -0.09124	                              
       8.88000	      -0.08510	                              
       8.89000	      -0.07710	                              
       8.90000	      -0.06807	                              
       8.91000	      -0.06096	                              
       8.92000	      -0.05441	                              
       8.93000	      -0.05068	                              
       8.94000	      -0.04784	                              
       8.95000	      -0.04625	                              
       8.96000	      -0.04510	                              
       8.97000	      -0.04519	                              
       8.98000	      -0.04585	                              
       8.99000	      -0.04623	                              
       9.00000	      -0.04427	                              
       9.01000	      -0.03978	                              
       9.02000	      -0.03350	                              
       9.03000	      -0.02729	                              
       9.04000	      -0.02237	                              
       9.05000	      -0.01973	                              
       9.06000	      -0.01911	                              
       9.07000	      -0.01924	                              
       9.08000	      -0.01792	                              
       9.09000	      -0.01352	                              
       9.10000	      -0.00583	                              
       9.11000	       0.00349	                              
       9.12000	       0.01202	                              
       9.13000	       0.01781	                              
       9.14000	       0.02017	                              
       9.15000	       0.01954	                              
       9.16000	       0.01688	                              
       9.17000	       0.01317	                              
       9.18000	       0.00915	                              
       9.19000	       0.00535	                              
       9.20000	       0.00210	                              
       9.21000	      -0.00064	                              
       9.22000	      -0.00311	                              
       9.23000	      -0.00565	                              
       9.24000	      -0.00815	                              
       9.25000	      -0.01027	                              
       9.26000	      -0.01139	                              
       9.27000	      -0.01138	                              
       9.28000	      -0.01023	                              
       9.29000	      -0.00854	                              
       9.30000	      -0.00671	                              
       9.31000	      -0.00541	                              
       9.32000	      -0.00433	                              
       9.33000	      -0.00312	                              
       9.34000	      -0.00086	                              
       9.35000	       0.00159	                              
       9.36000	       0.00353	                              
       9.37000	       0.00356	                              
       9.38000	       0.00236	                              
       9.39000	      -0.00020	                              
       9.40000	      -0.00269	                              
       9.41000	      -0.00519	                              
       9.42000	      -0.00562	                              
       9.43000	      -0.00435	                              
       9.44000	       0.00063	                              
       9.45000	       0.00618	                              
       9.46000	       0.01175	                              
       9.47000	       0.01488	                              
       9.48000	       0.01588	                              
       9.49000	       0.01695	                              
       9.50000	       0.02257	                              
       9.51000	       0.02677	                              
       9.52000	       0.02984	                              
       9.53000	       0.03347	                              
       9.54000	       0.03928	                              
       9.55000	       0.04396	                              
       9.56000	       0.04618	                              
       9.57000	       0.04612	                              
       9.58000	       0.04520	                              
       9.59000	       0.04387	                              
       9.60000	       0.04213	                              
       9.61000	       0.03981	                              
       9.62000	       0.03723	                              
       9.63000	       0.03530	                              
       9.64000	       0.03452	                              
       9.65000	       0.03484	                              
       9.66000	       0.03511	                              
       9.67000	       0.03449	                              
       9.68000	       0.03246	                              
       9.69000	       0.02967	                              
       9.70000	       0.02661	                              
       9.71000	       0.02386	                              
       9.72000	       0.02132	                              
       9.73000	       0.01897	                              
       9.74000	       0.01643	                              
       9.75000	       0.01352	                              
       9.76000	       0.01005	                              
       9.77000	       0.00623	                              
       9.78000	       0.00243	                              
       9.79000	      -0.00096	                              
       9.80000	      -0.00344	                              
       9.81000	      -0.00506	                              
       9.82000	      -0.00587	                              
       9.83000	      -0.00662	                              
       9.84000	      -0.00709	                              
       9.85000	      -0.00752	                              
       9.86000	      -0.00719	                              
       9.87000	      -0.00672	                              
       9.88000	      -0.00499	                              
       9.89000	      -0.00208	                              
       9.90000	       0.00404	                              
       9.91000	       0.01268	                              
       9.92000	       0.02502	                              
       9.93000	       0.03813	                              
       9.94000	       0.05133	                              
       9.95000	       0.06012	                              
       9.96000	       0.06697	                              
       9.97000	       0.07185	                              
       9.98000	       0.08054	                              
       9.99000	       0.08915	                              
      10.00000	       0.09996	                              
      10.01000	       0.10576	                              
      10.02000	       0.10979	                              
      10.03000	       0.10450	                              
      10.04000	       0.10987	                              
      10.05000	       0.14004	                              
      10.06000	       0.22158	                              
