Time Series artificial accelerogram: 1
 
Time Step: 0.01000 s
 
     Time(sec)	        Acc(g)	                              
       2.01000	       0.18814	                              
       2.02000	       0.19103	                              
       2.03000	       0.18414	                              
       2.04000	       0.16292	                              
       2.05000	       0.12917	                              
       2.06000	       0.08991	                              
       2.07000	       0.05272	                              
       2.08000	       0.01991	                              
       2.09000	      -0.01514	                              
       2.10000	      -0.06398	                              
       2.11000	      -0.12959	                              
       2.12000	      -0.19428	                              
       2.13000	      -0.22651	                              
       2.14000	      -0.20682	                              
       2.15000	      -0.14603	                              
       2.16000	      -0.07521	                              
       2.17000	      -0.01952	                              
       2.18000	       0.01422	                              
       2.19000	       0.03169	                              
       2.20000	       0.04017	                              
       2.21000	       0.04527	                              
       2.22000	       0.05012	                              
       2.23000	       0.05603	                              
       2.24000	       0.06146	                              
       2.25000	       0.06403	                              
       2.26000	       0.06087	                              
       2.27000	       0.05049	                              
       2.28000	       0.03243	                              
       2.29000	       0.01240	                              
       2.30000	       0.00396	                              
       2.31000	       0.02292	                              
       2.32000	       0.06476	                              
       2.33000	       0.10658	                              
       2.34000	       0.13368	                              
       2.35000	       0.14949	                              
       2.36000	       0.16474	                              
       2.37000	       0.16594	                              
       2.38000	       0.15622	                              
       2.39000	       0.08618	                              
       2.40000	       0.01185	                              
       2.41000	      -0.03507	                              
       2.42000	      -0.06830	                              
       2.43000	      -0.09427	                              
       2.44000	      -0.11451	                              
       2.45000	      -0.11786	                              
       2.46000	      -0.09588	                              
       2.47000	      -0.04373	                              
       2.48000	       0.03028	                              
       2.49000	       0.10900	                              
       2.50000	       0.17382	                              
       2.51000	       0.21415	                              
       2.52000	       0.23090	                              
       2.53000	       0.23132	                              
       2.54000	       0.22330	                              
       2.55000	       0.21279	                              
       2.56000	       0.20218	                              
       2.57000	       0.18954	                              
       2.58000	       0.17205	                              
       2.59000	       0.15079	                              
       2.60000	       0.13111	                              
       2.61000	       0.11704	                              
       2.62000	       0.10687	                              
       2.63000	       0.09555	                              
       2.64000	       0.08188	                              
       2.65000	       0.07214	                              
       2.66000	       0.07605	                              
       2.67000	       0.09820	                              
       2.68000	       0.13346	                              
       2.69000	       0.17076	                              
       2.70000	       0.20156	                              
       2.71000	       0.22459	                              
